Type,Section Lenght,Radius
Right,1,261.228
Right,1,245.966
Right,1,239.438
Right,1,226.081
Right,1,220.683
Right,1,214.554
Right,1,217.993
Right,1,208.493
Right,1,220.256
Right,1,218.574
Right,1,223.022
Right,1,217.412
Right,1,219.419
Right,1,217.177
Right,1,213.257
Right,1,204.347
Right,1,203.737
Right,1,199.927
Right,1,197.942
Right,1,197.959
Right,1,196.234
Right,1,197.761
Right,1,193.795
Right,1,189.639
Right,1,180.803
Right,1,178.422
Right,1,171.463
Right,1,170.447
Right,1,170.194
Right,1,170.684
Right,1,168.742
Right,1,171.495
Right,1,172.931
Right,1,174.236
Right,1,176.831
Right,1,180.603
Right,1,182.629
Right,1,183.035
Right,1,182.461
Right,1,184.732
Right,1,184.324
Right,1,188.824
Right,1,190.283
Right,1,193.539
Right,1,201.305
Right,1,205.739
Right,1,212.687
Right,1,220.253
Right,1,227.917
Right,1,225.983
Right,1,227.682
Right,1,220.473
Right,1,219.881
Right,1,210.911
Right,1,204.005
Right,1,200.935
Right,1,197.291
Right,1,198.191
Right,1,198.57
Right,1,205.087
Right,1,211.701
Right,1,221.633
Right,1,223.823
Right,1,225.551
Right,1,220.476
Right,1,217.594
Right,1,211.294
Right,1,207.613
Right,1,210.722
Right,1,206.429
Right,1,213.894
Right,1,218.121
Right,1,223.479
Right,1,228.357
Right,1,229.238
Right,1,234.279
Right,1,232.476
Right,1,237.607
Right,1,231.596
Right,1,234.754
Right,1,230.257
Right,1,231.324
Right,1,233.076
Right,1,230.324
Right,1,234.506
Right,1,238.108
Right,1,243.107
Right,1,248.8
Right,1,255.349
Right,1,258.095
Right,1,271.426
Right,1,273.728
Right,1,282.243
Right,1,285.206
Right,1,286.474
Right,1,286.833
Right,1,289.885
Right,1,282.839
Right,1,297.499
Right,1,288.693
Right,1,270.333
Right,1,282.371
Right,1,276.021
Right,1,251.118
Right,1,283.981
Right,1,332.617
Right,1,288.965
Right,1,273.734
Right,1,312.803
Right,1,300.68
Right,1,288.349
Right,1,312.353
Right,1,318.298
Right,1,302.586
Right,1,317.693
Right,1,329.679
Right,1,322.739
Right,1,337.152
Right,1,353.751
Right,1,365.031
Right,1,381.715
Right,1,387.541
Right,1,360.17
Right,1,346.566
Right,1,324.739
Right,1,302.887
Right,1,303.222
Right,1,304.228
Right,1,301.121
Right,1,305.639
Right,1,314.107
Right,1,311.015
Right,1,308.369
Right,1,308.977
Right,1,305.819
Right,1,302.536
Right,1,299.359
Right,1,303.562
Right,1,303.761
Right,1,305.188
Right,1,305.453
Right,1,314.276
Right,1,321.674
Right,1,326.764
Right,1,335.442
Right,1,331.767
Right,1,337.042
Right,1,328.821
Right,1,322.832
Right,1,307.694
Right,1,306.273
Right,1,289.11
Right,1,284.795
Right,1,278.236
Right,1,268.877
Right,1,260.804
Right,1,259.563
Right,1,259.896
Right,1,258.321
Right,1,263.859
Right,1,271.996
Right,1,275.802
Right,1,287.145
Right,1,288.184
Right,1,291.278
Right,1,291.711
Right,1,295.063
Right,1,289.04
Right,1,292.794
Right,1,298.581
Right,1,303.039
Right,1,308.392
Right,1,322.775
Right,1,337.257
Right,1,354.537
Right,1,368.005
Right,1,374.125
Right,1,381.667
Right,1,390.572
Right,1,381.964
Right,1,342.665
Right,1,333.57
Right,1,312.915
Right,1,293.885
Right,1,292.644
Right,1,299.177
Right,1,283.983
Right,1,290.282
Right,1,293.778
Right,1,267.065
Right,1,279.07
Right,1,288.633
Right,1,258.274
Right,1,271.192
Right,1,305.922
Right,1,293.181
Right,1,331.666
Right,1,403.872
Right,1,405.199
Right,1,406.59
Right,1,408.781
Right,1,349.806
Right,1,305.999
Right,1,288.558
Right,1,257.535
Right,1,247.433
Right,1,240.463
Right,1,224.536
Right,1,215.852
Right,1,208.433
Right,1,195.382
Right,1,182.204
Right,1,173.529
Right,1,176.873
Right,1,169.104
Right,1,161.874
Right,1,143.718
Right,1,149.315
Right,1,143.54
Right,1,150.674
Right,1,158.878
Right,1,150.935
Right,1,148.998
Right,1,140.859
Right,1,136.141
Right,1,137.318
Right,1,134.448
Right,1,131.65
Right,1,124.655
Right,1,119.988
Right,1,112.827
Right,1,111.26
Right,1,98.182
Right,1,102.788
Right,1,94.517
Right,1,98.692
Right,1,80.757
Right,1,83.872
Right,1,77.685
Right,1,77.894
Right,1,74.351
Right,1,78.81
Right,1,74.994
Right,1,72.25
Right,1,70.72
Right,1,68.445
Right,1,67.675
Right,1,64.798
Right,1,61.732
Right,1,61.196
Right,1,59.435
Right,1,62.716
Right,1,62.922
Right,1,61.93
Right,1,57.221
Right,1,53.796
Right,1,51.024
Right,1,50.36
Right,1,49.836
Right,1,50.35
Right,1,49.132
Right,1,47.306
Right,1,46.729
Right,1,46.566
Right,1,47.032
